# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP0616000,Concord,-122.00159,37.97218,,CA,122315
PP1238250,Lakeland,-81.95477,28.05550,,FL,122264
PP4550875,North Charleston,-80.06500,32.91788,,SC,121469
PP2240735,Lafayette,-92.02806,30.20560,,LA,121467
PP0803455,Arvada,-105.15031,39.83373,,CO,121414
PP2935000,Independence,-94.35208,39.08547,,MO,120922
PP3006550,Billings,-108.55248,45.78854,,MT,120864
PP0623182,Fairfield,-122.03239,38.26206,,CA,120768
PP0937000,Hartford,-72.68158,41.76593,,CT,119669
PP2603000,Ann Arbor,-83.73086,42.27615,,MI,119381
PP4009050,Broken Arrow,-95.78100,36.03653,,OK,119194
PP0606000,Berkeley,-122.29873,37.86567,,CA,118962
PP2511000,Cambridge,-71.11868,42.37604,,MA,118214
PP4861796,Richardson,-96.70807,32.97229,,TX,117435
PP0602252,Antioch,-121.79606,37.97834,,CA,117096
PP3731400,High Point,-79.99271,35.99080,,NC,116926
PP1212875,Clearwater,-82.77126,27.97942,,FL,116850
PP4841980,League City,-95.10909,29.49006,,TX,116320
PP4853388,Odessa,-102.34531,31.88046,,TX,115743
PP3345140,Manchester,-71.44413,42.98494,,NH,115474
PP1822000,Evansville,-87.53471,37.98774,,IN,115332
PP0980000,Waterbury,-73.03669,41.55850,,CT,114990
PP4982950,West Jordan,-112.00126,40.60267,,UT,114908
PP3539380,Las Cruces,-106.78969,32.32644,,NM,114892
PP0883835,Westminster,-105.06151,39.88012,,CO,114875
PP2537000,Lowell,-71.32102,42.63900,,MA,114296
PP1656260,Nampa,-116.56563,43.58554,,ID,114268
PP0660620,Richmond,-122.36061,37.95228,,CA,114106
PP1258050,Pompano Beach,-80.13385,26.24162,,FL,113619
PP0611194,Carlsbad,-117.28418,33.12928,,CA,113495
PP0646842,Menifee,-117.18438,33.68986,,CA,113433
PP4962470,Provo,-111.64506,40.24531,,UT,113343
PP1723074,Elgin,-88.32567,42.03896,,IL,113310
PP0832155,Greeley,-104.77104,40.41403,,CO,112609
PP1772000,Springfield,-89.64457,39.79106,,IL,112544
PP4807000,Beaumont,-94.14533,30.08491,,TX,112193
PP2646000,Lansing,-84.56089,42.71434,,MI,112115
PP0650076,Murrieta,-117.19044,33.57213,,CA,111878
PP0428380,Goodyear,-112.36647,33.25403,,AZ,111805
PP4801924,Allen,-96.67303,33.10974,,TX,111620
PP0177256,Tuscaloosa,-87.52830,33.23440,,AL,111338
PP5322640,Everett,-122.18990,47.96541,,WA,111180
PP0862000,Pueblo,-104.61082,38.26923,,CO,111077
PP4850820,New Braunfels,-98.11513,29.69931,,TX,110958
PP1372122,South Fulton,-84.58342,33.63572,,GA,110920
PP1245060,Miami Gardens,-80.24358,25.94889,,FL,110717
PP4131250,Gresham,-122.44161,45.50232,,OR,110685
PP0678120,Temecula,-117.13173,33.49307,,CA,110682
PP3563460,Rio Rancho,-106.69887,35.28507,,NM,110660
PP1759000,Peoria,-89.61720,40.75164,,IL,110460
