# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP01609,01609,-71.82999,42.28511
ZIP01610,01610,-71.80837,42.24705
ZIP01611,01611,-71.87704,42.24098
ZIP01612,01612,-71.92899,42.29680
ZIP01701,01701,-71.44280,42.31959
ZIP01702,01702,-71.43662,42.28238
ZIP01718,01718,-71.43027,42.52282
ZIP01719,01719,-71.52098,42.48598
ZIP01720,01720,-71.43850,42.48395
ZIP01721,01721,-71.47353,42.25776
ZIP01730,01730,-71.28190,42.49933
ZIP01731,01731,-71.28483,42.46465
ZIP01740,01740,-71.60188,42.43993
ZIP01741,01741,-71.36132,42.53681
ZIP01742,01742,-71.36450,42.46291
ZIP01745,01745,-71.49920,42.29211
ZIP01746,01746,-71.45343,42.19595
ZIP01747,01747,-71.53140,42.12301
ZIP01748,01748,-71.54049,42.22410
ZIP01749,01749,-71.54586,42.38907
ZIP01752,01752,-71.54721,42.34962
ZIP01754,01754,-71.45626,42.42596
ZIP01756,01756,-71.54452,42.09387
ZIP01757,01757,-71.52142,42.15869
ZIP01760,01760,-71.34881,42.28482
ZIP01770,01770,-71.37296,42.23195
ZIP01772,01772,-71.53083,42.30288
ZIP01773,01773,-71.31081,42.42551
ZIP01775,01775,-71.51251,42.42969
ZIP01776,01776,-71.42107,42.38337
ZIP01778,01778,-71.36194,42.35627
ZIP01801,01801,-71.15438,42.48870
ZIP01803,01803,-71.20171,42.50323
ZIP01810,01810,-71.16175,42.64804
ZIP01821,01821,-71.25172,42.54933
ZIP01824,01824,-71.35518,42.59079
ZIP01826,01826,-71.30068,42.67972
ZIP01827,01827,-71.49977,42.67615
ZIP01830,01830,-71.05344,42.79631
ZIP01832,01832,-71.13286,42.79111
ZIP01833,01833,-70.98332,42.72623
ZIP01834,01834,-71.01593,42.75390
ZIP01835,01835,-71.09441,42.75133
ZIP01840,01840,-71.16040,42.70676
ZIP01841,01841,-71.14830,42.71508
ZIP01843,01843,-71.16039,42.68999
ZIP01844,01844,-71.17865,42.74264
ZIP01845,01845,-71.09133,42.67391
ZIP01850,01850,-71.30331,42.65604
ZIP01851,01851,-71.33676,42.62800
ZIP01852,01852,-71.29562,42.63298
ZIP01854,01854,-71.34823,42.64948
ZIP01860,01860,-71.01200,42.83860
ZIP01862,01862,-71.29559,42.57854
ZIP01863,01863,-71.39790,42.63048
ZIP01864,01864,-71.08445,42.57840
ZIP01867,01867,-71.10542,42.53518
ZIP01876,01876,-71.22723,42.61189
ZIP01879,01879,-71.42882,42.66776
ZIP01880,01880,-71.06406,42.50436
ZIP01886,01886,-71.44025,42.58554
ZIP01887,01887,-71.16452,42.56465
ZIP01890,01890,-71.14432,42.45275
ZIP01901,01901,-70.94638,42.46042
ZIP01902,01902,-70.94154,42.47104
ZIP01904,01904,-70.97144,42.49145
ZIP01905,01905,-70.97234,42.46238
ZIP01906,01906,-71.01278,42.46968
ZIP01907,01907,-70.90660,42.47415
ZIP01908,01908,-70.92607,42.42823
ZIP01913,01913,-70.95579,42.85128
ZIP01915,01915,-70.86769,42.57044
ZIP01921,01921,-71.02719,42.68311
ZIP01922,01922,-70.91424,42.75731
ZIP01923,01923,-70.95052,42.57417
ZIP01929,01929,-70.77116,42.64045
ZIP01930,01930,-70.67796,42.62029
ZIP01937,01937,-70.98405,42.58572
ZIP01938,01938,-70.83959,42.68646
ZIP01940,01940,-71.03833,42.53415
ZIP01944,01944,-70.76715,42.57664
ZIP01945,01945,-70.85154,42.50432
ZIP01949,01949,-71.00629,42.61032
